No,Label,Username,Tweet
0,none,chyrisalys,wifi watcha pasti indihome
1,indirect complaint,woiidal,indihome ada masalah apasih??!!
2,remark,ranieaw,sore sore hujan rebahan bareng bocil nonton nussa dan rara di youtube pakek wifi IndiHome biar lancar dong😁  https://t.co/yitRsTk7w7
3,negative remark,daeguv_,"indihome plis untuk tanggal 10,13 jangan kesurupan😭"
4,indirect complaint,fiorincha,INDIHOME NGAPASIIII
5,direct compliment,fancyboy2608,Mager Day. 😅 Ga masalah sih mager selama masih ada koneksi dari IndiHome 😜  https://t.co/mhx8Lbij3O
6,direct complaint,caormilla,asli indihome knp si nangis😭👎  #.
7,direct compliment,indryindryindry,Baru dpt iklan dari Indihome untuk movie Dream work kayaknya keren nih. Lumayan tambahan film animasi buat bocah2 dirumah 💓  https://t.co/OWcoIMlWFq
8,direct complaint,butterkookiezz,Ini indihome sama kartu telkomsel aing lg bermasalah ya? Kok lelet bgt shit mo ngapain2 susah😩
9,direct compliment,minaniiiii,Hanya di indihome gue bisa puas nonton bola
10,direct complaint,hiiekkz,indihome sdg tidak baik-baik saja bung
11,campaign,useetvcom,Jadwal NBA Live Games untuk 9 - 12 Maret 2022. Jangan lewatkan pertandingannya!Fire  Subscribe minipack IndiBasketball dari layar TV atau myIndiHome kamu sekarang.  ⁣⁣#AktivitasTanpaBatas #HomeofPremiumSports #IndiHome #IndiHomeTV #NBA  https://t.co/UYaPeUCRx8
12,none,7shal,@MartabakKingJbr @IndiHome #pakebiznet @BiznetHome
13,inquiry,giowrina,@IndiHomeCare min ini kenapa wifi indihome di rumah ada yang gabisa dikonekin ke hp ya? tapi ke hp lainnya bisa cuma satu hp aja yang gabisa padahal udah direstart juga
14,direct complaint,ibramaul,"Min @IndiHome , jqringan lagi lelet ada gangguan dimana sih, seharian ga bisa kerja nih"
15,direct complaint,ishidoppa,Indihome ni knp si
16,own tweet,indihomecare,@Paska86652877 Hai Kak Paska. Kembali kasih atas apresiasinya. Semoga kami selalu bisa memberikan pelayanan terbaik untuk pelanggan setia IndiHome. -Raizel
17,campaign,sangwarior,@IndiHomeJBN Keren indihome.. 😁 #aktivitastanpabatas #InternetnyaIndonesia
18,direct compliment,bapacksixpack,enak yah pakai indihome bebas mau streaming film apa aja  https://t.co/Q1iT2N0vDw
19,direct complaint,fajarmarthas,AYO DONG PERKARAKAN INDIHOME! #perkarakanindihome
20,direct compliment,bapacksixpack,"Walaupun lagi kerja, tapi harus tetap refreshing juga dengan main game, its okay lah.. mumpung pakai jaringan Indihome mainnya auto lancar jaya dan menang terus. fix! 🎮🌚  https://t.co/v8OEOXIGzf"
21,inquiry,evigitaw,Min baca dm yaw @IndiHome
22,direct complaint,wahyuwidian,"@IndiHome goblog"" apa males ya karyawan indihome. Buat proses menon aktifkan layanan. Bilangnya nanti di proses sampe sekarang ga diproses"". Ga profesional. Gw jadinya bayar mulu njing padahal ga ada pemakaian bulan ini  https://t.co/hvfCi5GvR8"
23,own tweet,indihomecare,"@wahyuwidian Hai, Kak Wahyu. Guna kami bantu pengecekan lebih lanjut. Silakan infokan via DM data berikut: - Nomor IndiHome - Atas Nama Pemilik Layanan  Cece tunggu ya, Kak. Terima kasih. -Cece"
24,direct complaint,___immine,Indihome kalo ujan sinyalnya jadi busuk bgt males
25,indirect complaint,lazieskid,indihome lagi indihome lagi
26,campaign,sangwarior,Ikutan give away nya yuk... 😁  #aktivitastanpabatas #IndiHomeMbois #indihome #internetnyaindonesia
27,direct complaint,vcrdemidori,yg bener aja indihome sm telkomsel gaada sinyal
28,direct complaint,ndryhen,"@indihomecare Permisi indihome saya bermasalah, indikator pon kelapkelip merah nomer pelanggan via dm"
29,direct compliment,asoyto,Intip teman lagi nonton online sesantai itu pakai jaringan indihome siaran lancar sambil santaipun masih bisa menikmati tontonan youtube  https://t.co/gQXArEkHQH
30,direct complaint,faisalsanbayu,@IndiHome please fix your signal..!!!   Masa tiap hari diantara jam 7-8 malem sinyalnya kacrut terus gini sih?!?
