id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1505127519791374337,1505127519791374337,2022-03-19 17:22:19 SE Asia Standard Time,2022-03-19,17:22:19,+0700,69574670,denandakhlika,Denanda Akhlika L,,"@IndiHome untuk yang ke 999999999999999x internet mati karena “gangguan masal” yg kayanya dibikin sndri sm teknisi nya. Jam 2 liat ada teknisi d dkt tiang pdhl internet gue fine2 aja dan 1,5 jam kemudian loss merah. Wow menyelesaikan masalah dgn menimbulkan masalah baru👏",in,[],[],[],0,0,0,[],[],https://twitter.com/denandakhlika/status/1505127519791374337,False,,0,,,,,,,,[],,,,
1505127356750770177,1505106804774035456,2022-03-19 17:21:40 SE Asia Standard Time,2022-03-19,17:21:40,+0700,159899431,ismuiu,🤗,,@MySumatera Semoga tuntas nulis 3 buku buat anak dan bisa dibagikan gratis buat anak Indonesia   #Giveaways #IndiHome #InternetnyaIndonesia,in,[],[],[],0,0,0,"['giveaways', 'indihome', 'internetnyaindonesia']",[],https://twitter.com/ismuiu/status/1505127356750770177,False,,0,,,,,,,,"[{'screen_name': 'MySumatera', 'name': 'mySumatera', 'id': '1242389973086560256'}]",,,,
1505127247807934465,1505116412477853697,2022-03-19 17:21:14 SE Asia Standard Time,2022-03-19,17:21:14,+0700,1000004911638106113,imloliyy_a,Liy,,@deaamaliarp engga gangguan si kak gatau juga kenapa tapi aku sudah lapor pihak indihome nya biar di perbaiki,in,[],[],[],0,0,0,[],[],https://twitter.com/imloliyy_a/status/1505127247807934465,False,,0,,,,,,,,"[{'screen_name': 'deaamaliarp', 'name': 'Dea', 'id': '158995544'}]",,,,
1505127037719101441,1505127037719101441,2022-03-19 17:20:24 SE Asia Standard Time,2022-03-19,17:20:24,+0700,1281889283008131075,lovebaladsong,피니,,Halo ka @IndiHomeCare ini ko WiFi nya tanda seru terus. Tp ttp hijau ga kenapa2. Apa ini Krn fasilitas gratis dr Indihome ?,in,"[{'screen_name': 'indihomecare', 'name': 'indihomecare', 'id': '765035200896118789'}]",[],[],0,0,0,[],[],https://twitter.com/lovebaladsong/status/1505127037719101441,False,,0,,,,,,,,[],,,,
1505126955028402182,1505126955028402182,2022-03-19 17:20:04 SE Asia Standard Time,2022-03-19,17:20:04,+0700,1413101548297547784,anugrah72768202,Anugrah,,"Adik adik saya tidak pernah capek nonton tayangan anak, apa lagi dengan di dukung jaringan anti lemot dari IndiHome nonton jadi lancar 😍  https://t.co/t04jIX9kg2",in,[],[],[],0,0,0,[],[],https://twitter.com/Anugrah72768202/status/1505126955028402182,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1505126917258711042/pu/img/eWxdStKgU4DmhMKM.jpg,,,,,,,[],,,,
1505126712249516032,1505083259394289665,2022-03-19 17:19:06 SE Asia Standard Time,2022-03-19,17:19:06,+0700,107415562,fikriannafi,Fikri Annafi,,Mengundang teknisi indihome  https://t.co/vrW95Kw6Cg,in,[],[],['https://pbs.twimg.com/media/FONIwS8VcAERHRO.jpg'],0,0,0,[],[],https://twitter.com/fikriannafi/status/1505126712249516032,False,,1,https://pbs.twimg.com/media/FONIwS8VcAERHRO.jpg,,,,,,,[],,,,
1505126378135437312,1505126378135437312,2022-03-19 17:17:47 SE Asia Standard Time,2022-03-19,17:17:47,+0700,299477882,indryindryindry,Hyarr💥,,Lagi mood nonton youtube sejarah nabi2 terdahulu. Mumpung diluar hujan gag weekend mumpung dirumah aja nonton apa aja kan ada Indihome yg stabil pastinya 🥰  https://t.co/8LLMRZEviC,in,[],[],[],0,0,0,[],[],https://twitter.com/indryindryindry/status/1505126378135437312,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1505126262397829120/pu/img/onM9os1n_cjH4iAS.jpg,,,,,,,[],,,,
1505126372464750598,1505126372464750598,2022-03-19 17:17:45 SE Asia Standard Time,2022-03-19,17:17:45,+0700,68135919,onironir,Syah Rp,,Help! @IndiHome @IndiHomeCare  https://t.co/GugncUpMhF,en,"[{'screen_name': 'indihome', 'name': 'indihome', 'id': '1075673058931806208'}, {'screen_name': 'indihomecare', 'name': 'indihomecare', 'id': '765035200896118789'}]",[],['https://pbs.twimg.com/media/FONIXc7VsAkOulK.jpg'],0,0,0,[],[],https://twitter.com/onironir/status/1505126372464750598,False,,1,https://pbs.twimg.com/media/FONIXc7VsAkOulK.jpg,,,,,,,[],,,,
1505126313149218816,1505126313149218816,2022-03-19 17:17:31 SE Asia Standard Time,2022-03-19,17:17:31,+0700,980316160464846848,lcssluke,lita,,yaAllah kirain indihome gangguan tau nya kabelnya putus gara-gara kontrakan bawah nebang pohon  https://t.co/SLIt8FkEDi,in,[],[],['https://pbs.twimg.com/media/FONIZ7eagAMlt7b.jpg'],1,0,0,[],[],https://twitter.com/lcssluke/status/1505126313149218816,False,,1,https://pbs.twimg.com/media/FONIZ7eagAMlt7b.jpg,,,,,,,[],,,,
1505126106261000192,1505126106261000192,2022-03-19 17:16:42 SE Asia Standard Time,2022-03-19,17:16:42,+0700,903898998498406400,badmainton,nana,,indihome gajeeee bat etdah mau streaming ih,in,[],[],[],0,0,0,[],[],https://twitter.com/badmainton/status/1505126106261000192,False,,0,,,,,,,,[],,,,
