id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1505227579741011972,1505227579741011972,2022-03-19 23:59:55 SE Asia Standard Time,2022-03-19,23:59:55,+0700,1500448001419931648,anapuw,Anapuw,,Karena ada wifi indihome dirumah jadi bisa sambil larihan interview nih hehehe  https://t.co/D1Xrz2sBqp,in,[],[],[],0,0,0,[],[],https://twitter.com/anapuw/status/1505227579741011972,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1505227525458329603/pu/img/qcy6mt5d9AAPMi1z.jpg,,,,,,,[],,,,
1505227434131877890,1505125496865976320,2022-03-19 23:59:20 SE Asia Standard Time,2022-03-19,23:59:20,+0700,765035200896118789,indihomecare,IndiHomeCare,,"@baeyesser @IndiHome Hai, Kak Kamil. DM-nya sudah di respon oleh rekan Agra ya. Terima kasih -Agra",in,[],[],[],0,0,0,[],[],https://twitter.com/IndiHomeCare/status/1505227434131877890,False,,0,,,,,,,,"[{'screen_name': 'baeyesser', 'name': 'kamil • jual netflix spotify premium', 'id': '964411635241644037'}, {'screen_name': 'IndiHome', 'name': 'IndiHome', 'id': '1075673058931806208'}]",,,,
1505227023815352322,1505227023815352322,2022-03-19 23:57:42 SE Asia Standard Time,2022-03-19,23:57:42,+0700,1500448001419931648,anapuw,Anapuw,,Suka bgt lagu ini dari jaman kapan ya lupa wkwk. Jadi bisa nostalgia deh kalo ada jaringan indihome dirumah 😍  https://t.co/cMsPWkgStT,in,[],[],[],0,0,0,[],[],https://twitter.com/anapuw/status/1505227023815352322,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1505226982866358276/pu/img/1lTMzxyI4SLsNbrh.jpg,,,,,,,[],,,,
1505226378178105344,1505127519791374337,2022-03-19 23:55:08 SE Asia Standard Time,2022-03-19,23:55:08,+0700,765035200896118789,indihomecare,IndiHomeCare,,"@denandakhlika @IndiHome Halo Kak Denanda, mohon maaf atas ketidak nyamanan yang dialaminya dan agar bisa Azhar bantu informasikan kondisi jaringannya, silakan follow terlebih dahulu akun  @IndiHomeCare  agar bisa Azhar informasikan via DM. Terima Kasih -Azhar",in,"[{'screen_name': 'indihomecare', 'name': 'indihomecare', 'id': '765035200896118789'}]",[],[],0,0,0,[],[],https://twitter.com/IndiHomeCare/status/1505226378178105344,False,,0,,,,,,,,"[{'screen_name': 'denandakhlika', 'name': 'Denanda Akhlika L', 'id': '69574670'}, {'screen_name': 'IndiHome', 'name': 'IndiHome', 'id': '1075673058931806208'}]",,,,
1505226131032535042,1505226131032535042,2022-03-19 23:54:10 SE Asia Standard Time,2022-03-19,23:54:10,+0700,1500448001419931648,anapuw,Anapuw,,Abis nonton drakor dirumah pake wifi indihome yang sedih bgt jadi gak bisa tidorrr  https://t.co/wix4ywIV2f,in,[],[],[],0,0,0,[],[],https://twitter.com/anapuw/status/1505226131032535042,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1505226106302988289/pu/img/RLOv0h6CU6XNRL_g.jpg,,,,,,,[],,,,
1505226077613944835,1505226077613944835,2022-03-19 23:53:57 SE Asia Standard Time,2022-03-19,23:53:57,+0700,1164760376640061442,pecintabakso__,lannn,,Tweet gua dari kemaren isinya cuma keluh kesah sama indihome:’))))) putus nyambung mulu ya allah,in,[],[],[],0,0,0,[],[],https://twitter.com/pecintabakso__/status/1505226077613944835,False,,0,,,,,,,,[],,,,
1505225512037531650,1505225512037531650,2022-03-19 23:51:42 SE Asia Standard Time,2022-03-19,23:51:42,+0700,1452667945847427072,nubileye,taca 🧚🏻‍♀️,,tai ni indihome,in,[],[],[],3,0,0,[],[],https://twitter.com/nubileye/status/1505225512037531650,False,,0,,,,,,,,[],,,,
1505225255845269505,1505077319064440840,2022-03-19 23:50:41 SE Asia Standard Time,2022-03-19,23:50:41,+0700,765035200896118789,indihomecare,IndiHomeCare,,"@Rizkialmudi @IndiHome Halo, Kak Rizki. Adri informasikan Kakak bisa menikmati siaran MotoGP melalui SPOTV dengan berlangganan Minipack Indisport 3 dengan harga tiga puluh ribu rupiah (belum termasuk PPN 10%) ya, Kak. Terima kasih. -Adri",in,[],[],[],0,0,0,[],[],https://twitter.com/IndiHomeCare/status/1505225255845269505,False,,0,,,,,,,,"[{'screen_name': 'Rizkialmudi', 'name': 'Rizki Almudi', 'id': '4581884832'}, {'screen_name': 'IndiHome', 'name': 'IndiHome', 'id': '1075673058931806208'}]",,,,
1505225236135899136,1505225236135899136,2022-03-19 23:50:36 SE Asia Standard Time,2022-03-19,23:50:36,+0700,1371089529780670465,jeongwoofm,2521.,,indihome ky babiiii plis biarin gw tenang malem ini gw mau nonton aj susahhh bgt dah ya allah ya rabb,in,[],[],[],0,0,0,[],[],https://twitter.com/jeongwoofm/status/1505225236135899136,False,,0,,,,,,,,[],,,,
1505225142674214912,1505207185680175105,2022-03-19 23:50:14 SE Asia Standard Time,2022-03-19,23:50:14,+0700,201242711,kozukioden42,Kozuki Oden,,@Holy_shid Dari indihome ta,in,[],[],[],1,0,0,[],[],https://twitter.com/kozukioden42/status/1505225142674214912,False,,0,,,,,,,,"[{'screen_name': 'Holy_shid', 'name': 'M Shidqi Barin', 'id': '1459640150'}]",,,,
